代碼,名稱,價格
1216,統一,74.5
1217,愛之味,10.8
1220,台榮,13.2
1227,佳格,32.1
1259,安心,56.7
1268,漢來美食,134
1303,南亞,28.3
1307,三芳,39.95
1336,台翰,22.2
1339,昭輝,50.5
1341,富林-KY,61.6
1410,南染,31.8
1434,福懋,16.35
1452,宏益,13.45
1470,大統新創,20.55
1503,士電,139.5
1560,中砂,203
1568,倉佑,24.45
1597,直得,75.5
1714,和桐,7.74
1717,長興,25.65
1730,花仙子,50.5
1733,五鼎,31.05
1760,寶齡富錦,67.5
1773,勝一,125.5
1783,和康生,39.35
1817,凱撒衛,43.3
2012,春雨,21.45
2103,台橡,18.05
2107,厚生,23.85
2302,麗正,18.35
2303,聯電,40.75
2305,全友,11.15
2308,台達電,333
2313,華通,54.5
2327,國巨,471
2330,台積電,848
2364,倫飛,72.8
2365,昆盈,33.75
2373,震旦行,57.7
2379,瑞昱,477
2387,精元,55.9
2388,威盛,71.6
2393,億光,76.5
2412,中華電,124
2417,圓剛,37.75
2420,新巨,54.1
2421,建準,81.9
2450,神腦,30.1
2468,華經,46.8
2472,立隆電,75.6
2493,揚博,83.4
2496,卓越,72.8
2504,國產,37.8
2511,太子,9.14
2514,龍邦,17.2
2520,冠德,48.6
2603,長榮,204.5
2605,新興,22.6
2607,榮運,29.45
2609,陽明,69.7
2613,中櫃,27
2633,台灣高鐵,25.9
2637,慧洋-KY,63
2723,美食-KY,84.8
2729,瓦城,180
2912,統一超,236
3016,嘉晶,33.4
3019,亞光,134
3035,智原,208.5
3042,晶技,85.1
3050,鈺德,13.4
3071,協禧,20.7
3118,進階,31.35
3164,景岳,18.65
3169,亞信,89.4
3171,炎洲流通,36.55
3218,大學光,184.5
3332,幸康,37.4
3374,精材,137.5
3402,漢科,84.7
3416,融程電,133
3426,台興,44.75
3438,類比科,47.25
3443,創意,999
3455,由田,90.5
3484,崧騰,49.95
3491,昇達科,373.5
3492,長盛,21.6
3526,凡甲,242.5
3551,世禾,96.3
3583,辛耘,252
3624,光頡,30.75
3652,精聯,30.15
3665,貿聯-KY,463
3679,新至陞,130
3684,榮昌,40.55
3687,歐買尬,74.8
3711,日月光投控,134.5
4111,濟生,27
4114,健喬,30.6
4129,聯合,82.6
4167,松瑞藥,17.65
4173,久裕,24.7
4205,中華食,88.5
4417,金洲,40.15
4535,至興,30.6
4536,拓凱,180
4551,智伸科,90.9
4560,強信-KY,31.05
4571,鈞興-KY,147.5
4576,大銀微系統,112.5
4735,豪展,32.65
4755,三福化,99
4767,誠泰科技,30.7
4906,正文,27.15
4912,聯德控股-KY,96.3
4935,茂林-KY,47.25
4947,昂寶-KY,228.5
4952,凌通,42.4
4961,天鈺,193
4974,亞泰,90.5
4977,眾達-KY,94.5
4987,科誠,72.9
5016,松和,25.2
5212,凌網,55.6
5274,信驊,2740
5283,禾聯碩,87.4
5288,豐祥-KY,157
5305,敦南,42.3
5306,桂盟,102
5340,建榮,32.25
5347,世界,87.3
5371,中光電,66.9
5381,合正,18
5403,中菲,114.5
5434,崇越,237
5443,均豪,68.6
5457,宣德,41.9
5469,瀚宇博,47.8
5493,三聯,71.6
5530,龍巖,73.4
5903,全家,189
6115,鎰勝,48.15
6126,信音,22.95
6143,振曜,122
6147,頎邦,59.8
6155,鈞寶,21.45
6174,安碁,20.05
6182,合晶,19.55
6183,關貿,82.4
6187,萬潤,247.5
6197,佳必琪,126
6205,詮欣,59.1
6206,飛捷,111.5
6207,雷科,42.75
6215,和椿,74.2
6221,晉泰,59.2
6257,矽格,69.3
6281,全國電,68.8
6412,群電,101.5
6494,九齊,40.35
6508,惠光,25.9
6510,精測,603
6525,捷敏-KY,62.8
6530,創威,47.2
6556,勝品,76.4
6570,維田,44.05
6664,群翊,180
6671,三能-KY,38.85
6715,嘉基,124
6716,應廣,56.8
6727,亞泰金屬,57.6
6756,威鋒電子,98.1
7402,邑錡,92.3
8039,台虹,40.15
8046,南電,94.5
8083,瑞穎,145.5
8091,翔名,113
8099,大世科,63
8103,瀚荃,42.4
8114,振樺電,253.5
8131,福懋科,26.05
8249,菱光,46.45
8279,生展,114.5
8289,泰藝,20.4
8341,日友,74.3
8342,益張,80
8354,冠好,13.75
8390,金益鼎,61.3
8401,白紗科,27.2
8403,盛弘,25.75
8406,金可-KY,278.5
8416,實威,149
8424,惠普,64.8
8435,鉅邁,68.4
8464,億豐,356.5
8923,時報,19.15
8924,大田,66.1
8926,台汽電,37.55
8931,大汽電,41.25
8941,關中,52.7
9904,寶成,31.75
9907,統一實,16
9917,中保科,111
9921,巨大,129.5
9938,百和,59.6
9943,好樂迪,71.6